[4:48:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:53:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 0% | Voltage: 3.00V
[4:54:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:54:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:54:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:54:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:54:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 0% | Voltage: 3.00V
[4:54:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:55:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:56:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:56:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:56:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[4:56:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[4:56:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:56:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 50% | Voltage: 3.61V
[4:57:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:57:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:57:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 53% | Voltage: 3.64V
[4:57:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:57:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[4:57:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 53% | Voltage: 3.64V
[4:58:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:58:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 53% | Voltage: 3.64V
[4:58:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[4:58:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 50% | Voltage: 3.61V
[4:58:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[4:58:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 49% | Voltage: 3.59V
[4:59:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[4:59:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 49% | Voltage: 3.59V
[4:59:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 53% | Voltage: 3.64V
[4:59:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[4:59:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[4:59:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 53% | Voltage: 3.64V
[5:00:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:00:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:00:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:00:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:00:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:00:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:01:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:01:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:01:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:01:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:01:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:01:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:02:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:02:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:02:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:02:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:02:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:02:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:03:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:03:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:03:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:03:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:03:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:03:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:04:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:04:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:04:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:04:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:04:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:04:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:05:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:05:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:05:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 40% | Voltage: 3.49V
[5:05:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:05:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:05:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:06:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:06:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:06:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:06:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 40% | Voltage: 3.49V
[5:06:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:06:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:07:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:07:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:07:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 42% | Voltage: 3.51V
[5:07:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:07:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:07:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:08:00 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:08:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:08:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:08:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 40% | Voltage: 3.49V
[5:08:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 46% | Voltage: 3.56V
[5:08:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:09:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:09:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:09:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:09:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 39% | Voltage: 3.47V
[5:09:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 42% | Voltage: 3.51V
[5:09:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 39% | Voltage: 3.47V
[5:10:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 39% | Voltage: 3.47V
[5:10:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 44% | Voltage: 3.54V
[5:10:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 39% | Voltage: 3.47V
[5:10:30 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 2% | Battery: 42% | Voltage: 3.51V
[5:10:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 39% | Voltage: 3.47V
[5:10:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 2% | Battery: 9% | Voltage: 3.12V
[5:11:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 9% | Voltage: 3.12V
[5:11:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 36% | Voltage: 3.44V
[5:11:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 42% | Voltage: 3.51V
[5:11:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:11:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:11:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:12:00 AM] Humidity: 138% | Temperature: 221°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:12:10 AM] Humidity: 0% | Temperature: 0°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:12:20 AM] Humidity: 104% | Temperature: 0°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:12:30 AM] Humidity: 255% | Temperature: 255°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:12:40 AM] Humidity: 255% | Temperature: 255°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:12:50 AM] Humidity: 255% | Temperature: 255°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:13:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:13:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:13:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 0% | Battery: 0% | Voltage: 3.00V
[5:13:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[5:13:40 AM] Humidity: 95% | Temperature: 16°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[5:13:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[5:14:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:14:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[5:18:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 5% | Battery: 0% | Voltage: 3.00V
[5:18:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 5% | Battery: 0% | Voltage: 3.00V
[5:19:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:19:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:19:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:19:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:19:40 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:19:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:20:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 0% | Voltage: 3.00V
[5:20:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 3% | Battery: 0% | Voltage: 3.00V
[5:20:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:20:30 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 2% | Battery: 0% | Voltage: 3.00V
[5:20:40 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 1% | Battery: 0% | Voltage: 3.00V
[5:20:50 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:21:00 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:21:10 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:21:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 4% | Battery: 0% | Voltage: 3.00V
[5:21:30 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 49% | Voltage: 3.59V
[5:21:40 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 49% | Voltage: 3.59V
[5:21:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 55% | Voltage: 3.66V
[5:22:00 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 5% | Battery: 49% | Voltage: 3.59V
[5:22:10 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 49% | Voltage: 3.59V
[5:22:20 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 5% | Battery: 50% | Voltage: 3.61V
[5:22:30 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 49% | Voltage: 3.59V
[5:22:40 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 50% | Voltage: 3.61V
[5:22:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 53% | Voltage: 3.64V
[5:23:00 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 53% | Voltage: 3.64V
[5:23:10 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 3% | Battery: 50% | Voltage: 3.61V
[5:23:20 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 1% | Battery: 46% | Voltage: 3.56V
[5:23:30 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 50% | Voltage: 3.61V
[5:23:40 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 46% | Voltage: 3.56V
[5:23:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 44% | Voltage: 3.54V
[5:24:00 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 49% | Voltage: 3.59V
[5:24:10 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 44% | Voltage: 3.54V
[5:24:20 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 50% | Voltage: 3.61V
[5:24:30 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 46% | Voltage: 3.56V
[5:24:40 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 5% | Battery: 49% | Voltage: 3.59V
[5:24:50 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 46% | Voltage: 3.56V
[5:25:00 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 5% | Battery: 46% | Voltage: 3.56V
[6:01:10 AM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 4% | Battery: 44% | Voltage: 3.54V
[7:44:20 AM] Humidity: 95% | Temperature: 30°C | Sun Intensity: 22% | Battery: 0% | Voltage: 3.00V
