[1:09:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 42% | Battery: 12% | Voltage: 3.50V
[7:08:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 59% | Battery: -78% | Voltage: 2.77V
[7:08:30 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 38% | Battery: -73% | Voltage: 2.81V
[7:09:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 1% | Battery: 134% | Voltage: 4.48V
[7:09:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 107% | Voltage: 4.26V
[7:09:30 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:09:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:09:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 97% | Voltage: 4.18V
[7:10:00 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 39% | Battery: 73% | Voltage: 3.99V
[7:10:10 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:10:20 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 101% | Voltage: 4.21V
[7:10:30 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 73% | Voltage: 3.99V
[7:10:40 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:10:50 PM] Humidity: 95% | Temperature: 31°C | Sun Intensity: 39% | Battery: 76% | Voltage: 4.01V
[7:11:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 67% | Voltage: 3.94V
[7:11:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 97% | Voltage: 4.18V
[7:11:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:11:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 94% | Voltage: 4.16V
[7:11:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 91% | Voltage: 4.13V
[7:11:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 70% | Voltage: 3.96V
[7:12:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:12:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 73% | Voltage: 3.99V
[7:12:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 70% | Voltage: 3.96V
[7:12:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 88% | Voltage: 4.11V
[7:12:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:12:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 70% | Voltage: 3.96V
[7:13:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 67% | Voltage: 3.94V
[7:13:10 PM] Humidity: 95% | Temperature: 48°C | Sun Intensity: 40% | Battery: 67% | Voltage: 3.94V
[7:13:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 73% | Voltage: 3.99V
[7:13:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 70% | Voltage: 3.96V
[7:13:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 91% | Voltage: 4.13V
[7:13:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 94% | Voltage: 4.16V
[7:14:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 88% | Voltage: 4.11V
[7:14:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:14:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 101% | Voltage: 4.21V
[7:14:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:14:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:14:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 82% | Voltage: 4.06V
[7:15:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:15:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:15:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:15:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 101% | Voltage: 4.21V
[7:15:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:15:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 84% | Voltage: 4.08V
[7:16:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 94% | Voltage: 4.16V
[7:16:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 73% | Voltage: 3.99V
[7:16:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:16:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 76% | Voltage: 4.01V
[7:16:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 82% | Voltage: 4.06V
[7:16:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 73% | Voltage: 3.99V
[7:17:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 107% | Voltage: 4.26V
[7:17:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 94% | Voltage: 4.16V
[7:17:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 107% | Voltage: 4.26V
[7:17:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 84% | Voltage: 4.08V
[7:17:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 91% | Voltage: 4.13V
[7:17:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 79% | Voltage: 4.04V
[7:18:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:18:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 101% | Voltage: 4.21V
[7:18:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:18:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 101% | Voltage: 4.21V
[7:18:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 79% | Voltage: 4.04V
[7:18:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 88% | Voltage: 4.11V
[7:19:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 79% | Voltage: 4.04V
[7:19:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 76% | Voltage: 4.01V
[7:19:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 107% | Voltage: 4.26V
[7:19:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 88% | Voltage: 4.11V
[7:19:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 107% | Voltage: 4.26V
[7:19:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 109% | Voltage: 4.28V
[7:20:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 88% | Voltage: 4.11V
[7:20:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 94% | Voltage: 4.16V
[7:20:20 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 107% | Voltage: 4.26V
[7:20:30 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 82% | Voltage: 4.06V
[7:20:40 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 84% | Voltage: 4.08V
[7:20:50 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 39% | Battery: 101% | Voltage: 4.21V
[7:21:00 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 97% | Voltage: 4.18V
[7:21:10 PM] Humidity: 95% | Temperature: 32°C | Sun Intensity: 40% | Battery: 101% | Voltage: 4.21V
